ts,anchor,mac,distance_m,rssi
1766474818,A1,76:32:3d:1a:3b:3f,4,-75
1766474819,A1,76:32:3d:1a:3b:3f,4,-75
1766474820,A1,76:32:3d:1a:3b:3f,4,-76
1766474821,A1,76:32:3d:1a:3b:3f,4,-76
1766474822,A1,76:32:3d:1a:3b:3f,4,-75
1766474823,A1,76:32:3d:1a:3b:3f,4,-76
1766474824,A1,76:32:3d:1a:3b:3f,4,-77
1766474825,A1,76:32:3d:1a:3b:3f,4,-76
1766474826,A1,76:32:3d:1a:3b:3f,4,-76
1766474827,A1,76:32:3d:1a:3b:3f,4,-76
1766474828,A1,76:32:3d:1a:3b:3f,4,-76
1766474829,A1,76:32:3d:1a:3b:3f,4,-77
1766474830,A1,76:32:3d:1a:3b:3f,4,-75
1766474831,A1,76:32:3d:1a:3b:3f,4,-75
1766474832,A1,76:32:3d:1a:3b:3f,4,-75
1766474833,A1,76:32:3d:1a:3b:3f,4,-76
1766474835,A1,76:32:3d:1a:3b:3f,4,-76
1766474836,A1,5a:f1:8d:18:1e:2f,4,-78
1766474837,A1,5a:f1:8d:18:1e:2f,4,-79
1766474838,A1,5a:f1:8d:18:1e:2f,4,-75
1766474839,A1,5a:f1:8d:18:1e:2f,4,-79
1766474840,A1,5a:f1:8d:18:1e:2f,4,-78
1766474841,A1,5a:f1:8d:18:1e:2f,4,-76
1766474842,A1,5a:f1:8d:18:1e:2f,4,-75
1766474843,A1,5a:f1:8d:18:1e:2f,4,-75
1766474844,A1,5a:f1:8d:18:1e:2f,4,-74
1766474845,A1,5a:f1:8d:18:1e:2f,4,-76
1766474846,A1,5a:f1:8d:18:1e:2f,4,-75
1766474847,A1,5a:f1:8d:18:1e:2f,4,-75
1766474896,A1,5a:f1:8d:18:1e:2f,5,-79
1766474897,A1,5a:f1:8d:18:1e:2f,5,-78
1766474898,A1,5a:f1:8d:18:1e:2f,5,-77
1766474899,A1,5a:f1:8d:18:1e:2f,5,-76
1766474900,A1,5a:f1:8d:18:1e:2f,5,-76
1766474901,A1,5a:f1:8d:18:1e:2f,5,-76
1766474903,A1,5a:f1:8d:18:1e:2f,5,-77
1766474903,A1,5a:f1:8d:18:1e:2f,5,-78
1766474904,A1,5a:f1:8d:18:1e:2f,5,-76
1766474905,A1,5a:f1:8d:18:1e:2f,5,-78
1766474907,A1,5a:f1:8d:18:1e:2f,5,-76
1766474908,A1,5a:f1:8d:18:1e:2f,5,-76
1766474909,A1,5a:f1:8d:18:1e:2f,5,-76
1766474910,A1,5a:f1:8d:18:1e:2f,5,-79
1766474911,A1,5a:f1:8d:18:1e:2f,5,-77
1766474912,A1,5a:f1:8d:18:1e:2f,5,-83
1766474913,A1,5a:f1:8d:18:1e:2f,5,-80
1766474914,A1,5a:f1:8d:18:1e:2f,5,-78
1766474915,A1,5a:f1:8d:18:1e:2f,5,-76
1766474916,A1,5a:f1:8d:18:1e:2f,5,-77
1766474917,A1,5a:f1:8d:18:1e:2f,5,-77
1766474918,A1,5a:f1:8d:18:1e:2f,5,-76
1766474919,A1,5a:f1:8d:18:1e:2f,5,-77
1766474920,A1,5a:f1:8d:18:1e:2f,5,-83
1766474921,A1,5a:f1:8d:18:1e:2f,5,-81
1766474922,A1,5a:f1:8d:18:1e:2f,5,-76
1766474923,A1,5a:f1:8d:18:1e:2f,5,-76
1766474924,A1,5a:f1:8d:18:1e:2f,5,-76
1766474925,A1,5a:f1:8d:18:1e:2f,5,-77
1766474926,A1,5a:f1:8d:18:1e:2f,5,-75
1766474927,A1,5a:f1:8d:18:1e:2f,5,-81
1766474928,A1,5a:f1:8d:18:1e:2f,5,-77
1766474929,A1,5a:f1:8d:18:1e:2f,5,-75
1766474930,A1,5a:f1:8d:18:1e:2f,5,-78
1766474931,A1,5a:f1:8d:18:1e:2f,5,-78
1766474932,A1,5a:f1:8d:18:1e:2f,5,-78
1766474933,A1,5a:f1:8d:18:1e:2f,5,-76
1766474934,A1,5a:f1:8d:18:1e:2f,5,-76
1766474936,A1,5a:f1:8d:18:1e:2f,5,-75
1766474937,A1,5a:f1:8d:18:1e:2f,5,-81
1766474938,A1,5a:f1:8d:18:1e:2f,5,-79
1766474939,A1,5a:f1:8d:18:1e:2f,5,-80
1766474940,A1,5a:f1:8d:18:1e:2f,5,-81
1766474941,A1,5a:f1:8d:18:1e:2f,5,-79
1766474942,A1,5a:f1:8d:18:1e:2f,5,-80
1766474943,A1,5a:f1:8d:18:1e:2f,5,-76
1766474987,A1,5a:f1:8d:18:1e:2f,3,-73
1766474988,A1,5a:f1:8d:18:1e:2f,3,-68
1766474989,A1,5a:f1:8d:18:1e:2f,3,-68
1766474990,A1,5a:f1:8d:18:1e:2f,3,-69
1766474991,A1,5a:f1:8d:18:1e:2f,3,-68
1766474992,A1,5a:f1:8d:18:1e:2f,3,-68
1766474993,A1,5a:f1:8d:18:1e:2f,3,-76
1766474995,A1,5a:f1:8d:18:1e:2f,3,-68
1766474996,A1,5a:f1:8d:18:1e:2f,3,-68
1766474997,A1,5a:f1:8d:18:1e:2f,3,-67
1766474998,A1,5a:f1:8d:18:1e:2f,3,-67
1766474999,A1,5a:f1:8d:18:1e:2f,3,-71
1766475000,A1,5a:f1:8d:18:1e:2f,3,-69
1766475001,A1,5a:f1:8d:18:1e:2f,3,-68
1766475002,A1,5a:f1:8d:18:1e:2f,3,-71
1766475003,A1,5a:f1:8d:18:1e:2f,3,-67
1766475004,A1,5a:f1:8d:18:1e:2f,3,-67
1766475005,A1,5a:f1:8d:18:1e:2f,3,-68
1766475006,A1,5a:f1:8d:18:1e:2f,3,-70
1766475007,A1,5a:f1:8d:18:1e:2f,3,-68
1766475008,A1,5a:f1:8d:18:1e:2f,3,-68
1766475009,A1,5a:f1:8d:18:1e:2f,3,-74
1766475010,A1,5a:f1:8d:18:1e:2f,3,-68
1766475011,A1,5a:f1:8d:18:1e:2f,3,-70
1766475012,A1,5a:f1:8d:18:1e:2f,3,-68
1766475013,A1,5a:f1:8d:18:1e:2f,3,-68
1766475077,A1,5a:f1:8d:18:1e:2f,2,-68
1766475078,A1,5a:f1:8d:18:1e:2f,2,-73
1766475079,A1,5a:f1:8d:18:1e:2f,2,-68
1766475080,A1,5a:f1:8d:18:1e:2f,2,-66
1766475081,A1,5a:f1:8d:18:1e:2f,2,-73
1766475082,A1,5a:f1:8d:18:1e:2f,2,-69
1766475083,A1,5a:f1:8d:18:1e:2f,2,-67
1766475084,A1,5a:f1:8d:18:1e:2f,2,-67
1766475085,A1,5a:f1:8d:18:1e:2f,2,-68
1766475086,A1,5a:f1:8d:18:1e:2f,2,-66
1766475087,A1,5a:f1:8d:18:1e:2f,2,-66
1766475088,A1,5a:f1:8d:18:1e:2f,2,-66
1766475089,A1,5a:f1:8d:18:1e:2f,2,-66
1766475090,A1,5a:f1:8d:18:1e:2f,2,-66
1766475091,A1,5a:f1:8d:18:1e:2f,2,-66
1766475092,A1,5a:f1:8d:18:1e:2f,2,-68
1766475093,A1,5a:f1:8d:18:1e:2f,2,-73
1766475094,A1,5a:f1:8d:18:1e:2f,2,-73
1766475095,A1,5a:f1:8d:18:1e:2f,2,-73
1766475096,A1,5a:f1:8d:18:1e:2f,2,-73
1766475097,A1,5a:f1:8d:18:1e:2f,2,-67
1766475098,A1,5a:f1:8d:18:1e:2f,2,-72
1766475099,A1,5a:f1:8d:18:1e:2f,2,-68
1766475100,A1,5a:f1:8d:18:1e:2f,2,-67
1766475101,A1,5a:f1:8d:18:1e:2f,2,-68
1766475102,A1,5a:f1:8d:18:1e:2f,2,-67
1766475104,A1,5a:f1:8d:18:1e:2f,2,-68
1766475105,A1,5a:f1:8d:18:1e:2f,2,-68
1766475106,A1,5a:f1:8d:18:1e:2f,2,-68
1766475107,A1,5a:f1:8d:18:1e:2f,2,-66
1766475108,A1,5a:f1:8d:18:1e:2f,2,-65
1766475109,A1,5a:f1:8d:18:1e:2f,2,-73
1766475110,A1,5a:f1:8d:18:1e:2f,2,-67
1766475111,A1,5a:f1:8d:18:1e:2f,2,-72
1766475112,A1,5a:f1:8d:18:1e:2f,2,-66
1766475113,A1,5a:f1:8d:18:1e:2f,2,-66
1766475114,A1,5a:f1:8d:18:1e:2f,2,-66
1766475115,A1,5a:f1:8d:18:1e:2f,2,-68
1766475116,A1,5a:f1:8d:18:1e:2f,2,-67
1766475117,A1,5a:f1:8d:18:1e:2f,2,-74
1766475197,A1,4d:0c:84:a8:68:2a,1,-64
1766475198,A1,4d:0c:84:a8:68:2a,1,-64
1766475199,A1,4d:0c:84:a8:68:2a,1,-65
1766475200,A1,4d:0c:84:a8:68:2a,1,-66
1766475201,A1,4d:0c:84:a8:68:2a,1,-64
1766475202,A1,4d:0c:84:a8:68:2a,1,-64
1766475203,A1,4d:0c:84:a8:68:2a,1,-65
1766475204,A1,4d:0c:84:a8:68:2a,1,-64
1766475205,A1,4d:0c:84:a8:68:2a,1,-67
1766475206,A1,4d:0c:84:a8:68:2a,1,-65
1766475207,A1,4d:0c:84:a8:68:2a,1,-65
1766475208,A1,4d:0c:84:a8:68:2a,1,-65
1766475209,A1,4d:0c:84:a8:68:2a,1,-65
1766475211,A1,4d:0c:84:a8:68:2a,1,-64
1766475211,A1,4d:0c:84:a8:68:2a,1,-64
1766475213,A1,4d:0c:84:a8:68:2a,1,-72
1766475214,A1,4d:0c:84:a8:68:2a,1,-64
1766475215,A1,4d:0c:84:a8:68:2a,1,-67
1766475216,A1,4d:0c:84:a8:68:2a,1,-68
1766475217,A1,4d:0c:84:a8:68:2a,1,-65
1766475218,A1,4d:0c:84:a8:68:2a,1,-65
1766475219,A1,4d:0c:84:a8:68:2a,1,-65
1766475220,A1,4d:0c:84:a8:68:2a,1,-65
1766475221,A1,4d:0c:84:a8:68:2a,1,-65
1766475222,A1,4d:0c:84:a8:68:2a,1,-65
1766475223,A1,4d:0c:84:a8:68:2a,1,-65
1766475224,A1,4d:0c:84:a8:68:2a,1,-65
1766475225,A1,4d:0c:84:a8:68:2a,1,-65
1766475226,A1,4d:0c:84:a8:68:2a,1,-65
1766475227,A1,4d:0c:84:a8:68:2a,1,-65
1766475228,A1,4d:0c:84:a8:68:2a,1,-64
1766475229,A1,4d:0c:84:a8:68:2a,1,-64
1766475230,A1,4d:0c:84:a8:68:2a,1,-67
1766475231,A1,4d:0c:84:a8:68:2a,1,-65
1766475232,A1,4d:0c:84:a8:68:2a,1,-63
1766475327,A1,4d:0c:84:a8:68:2a,0.5,-64
1766475328,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475329,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475330,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475331,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475332,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475333,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475334,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475335,A1,4d:0c:84:a8:68:2a,0.5,-61
1766475336,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475337,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475338,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475339,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475340,A1,4d:0c:84:a8:68:2a,0.5,-61
1766475341,A1,4d:0c:84:a8:68:2a,0.5,-61
1766475342,A1,4d:0c:84:a8:68:2a,0.5,-61
1766475343,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475344,A1,4d:0c:84:a8:68:2a,0.5,-65
1766475345,A1,4d:0c:84:a8:68:2a,0.5,-60
1766475346,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475348,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475349,A1,4d:0c:84:a8:68:2a,0.5,-62
1766475350,A1,4d:0c:84:a8:68:2a,0.5,-63
1766475351,A1,4d:0c:84:a8:68:2a,0.5,-61
1766475352,A1,4d:0c:84:a8:68:2a,0.5,-61
1766475353,A1,4d:0c:84:a8:68:2a,0.5,-61
1766475354,A1,4d:0c:84:a8:68:2a,0.5,-62
